Género;¿Te identificás como LGBT+ (lesbiana, gay, bisexual, transexual, otra minoría sexual)?;Rango Edad;Discapacidad;Máximo nivel de formación;Carrera;¿En qué tipo de universidad estudiaste tu carrera de grado?;País;Provincia donde trabajas;Trabajo;Rubro de la empresa;Cantidad de Empleados;Origen del capital;¿Cuántas personas integran el área de RRHH?;¿En qué puesto trabajás?;Tipo de contratación;¿Cuál es tu función principal en RRHH?;¿Cuántas personas tenés a cargo? (poné 0 si no tenés gente a cargo?;¿Hace cuántos años trabajas en la empresa donde estás? (0 para menos de un año);¿Cuántos años de experiencia tenés en RRHH?;¿Cuál es tu remuneración BRUTA MENSUAL en tu moneda local? (antes de impuestos y deducciones);¿Qué beneficios tenés?;¿Recibís bonos?;¿Tuviste ajustes por inflación en 2020?;¿Cuál fue el porcentaje de aumento acumulado que tuviste en 2020?;Mes del último ajuste;¿Trabajás en proyectos independientes además de tu empleo?;¿Qué sistema de gestión de RRHH usan en tu empresa?;¿Cómo se llama el área en tu empresa?;¿Se podía tomar mate en las oficinas de tu empresa? (antes del COVID-19);¿Te exigieron saber un idioma extranjero (inglés, portugués, etc.) para entrar a trabajar en tu empresa?;¿Qué porcentaje del tiempo usas el idioma extranjero en tu puesto actual?;¿Cuántos contactos tenés en LinkedIn? (poné 0 si no tenés cuenta de LinkedIn);¿Qué tan satisfecho estás con tu empresa?;¿Estás buscando trabajo?;¿Qué beneficios te gustaría tener?;Definí a RRHH con una sola palabra;¿Cuál es la pregunta más bizarra que te han hecho/has hecho en una entrevista?;¿Estás trabajando desde tu casa?;¿Qué elementos te proveyó la empresa para que puedas trabajar desde tu casa?;¿Cómo valorarías la gestión de tu empresa en este nuevo contexto?;¿Cómo estás registrado/a fiscalmente?;¿Hace cuántos años trabajás como freelance?;¿Dónde trabajás habitualmente? (sin considerar la coyuntura por COVID-19);¿Exportás tus servicios?;Si exportás servicios, ¿a través de qué medios de pago recibís los pagos del exterior?;¿Aceptás pagos en cuotas?;¿Trabajás con otros freelancers de tu mismo rubro?;¿Tu servicio principal está relacionado con búsqueda y selección?;¿Te dedicás principalmente a realizar búsquedas de IT/Tecnología?;¿Trabajás a riesgo?;¿Cuál es el coeficiente que cobrás por tus servicios?;El coeficiente lo calculás sobre:;¿Ofrecés garantía?;¿Cuál es el servicio principal que brindas? (si brindás más de un servicio, elegí el que más ingresos genere);¿Cuál es el valor hora promedio que ofrecés? (moneda local)
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;San Juan;Relación de Dependencia;Comercio;Entre 51 y 100;Multinacional;1;Jefe;Full time;Generalista;65;10;12;68000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Seguro de vida (adicionales a los de ley), Préstamos, Comedor / Almuerzos;Dos sueldos;1 solo;23;Septiembre;Si, en emprendimiento no relacionado con RRHH;Meta4;Recursos Humanos;Si, está permitido;Si;10%;0;2;Sí, activamente;horarios flexibles;desafío continuo;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;Si;Entre 26 y 30;No tengo ninguna discapacidad;Universitario abandonado;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;Si;Entre 51 y 55 años;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Pública;Argentina;Tucumán;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;4;Cowork;Si;PayPal;Si, eventualmente;Si;No;;;;;;Capacitación;3700
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Tucumán;Relación de Dependencia;Educación;Entre 51 y 100;Nacional;1;Jefe;Full time;Generalista;3;0;4;30900;No tengo beneficios adicionales;No recibo bono;1 solo;10;Septiembre;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;;3;No,  pero escucho ofertas;Obra Social;Compromiso;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;Lic. en Ciencias de la Comunicación;Universidad Pública;Argentina;Tucumán;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría en curso;Administración de Empresas;Universidad Pública;Ecuador;;Relación de Dependencia;Industrias químicas;Entre 251 y 500;Multinacional;5;HRBP;Full time;Generalista;1;5;14;1400;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de celular, Seguro de vida (adicionales a los de ley), Préstamos, Reintegros en capacitación, Comedor / Almuerzos, Charter / Servicio de transporte;Menos de un sueldo;No tuve ajustes;0;;No;compers, evolution;Talento Humano;No se suele tomar mate en este país;No;0%;5000;4;No,  pero escucho ofertas;desarrollo profesional ;empoderamiento;ninguna que recuerde;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 46 y 50;Obesidad;Terciario completo;No estudié en la Universidad;No estudié en la Universidad;Argentina;Tucumán;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Entre 251 y 500;Nacional;5;Gerente;Full time;Generalista;5;2;3;110000;Comedor / Almuerzos, Spotify / Netflix / Servicios de Streaming;No recibo bono;2 ajustes;35;Agosto;Si, en emprendimiento no relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;0%;150;5;No estoy buscando cambiar;movilidad;Gestión;¿Tenés casa propia?;Voy rotando entre la oficina y el trabajo;Computadora / Laptop, Abono de celular;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Tucumán;Relación de Dependencia;Servicios públicos (agua;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios financieros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;No estudié en la Universidad;Argentina;San Juan;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Industrias químicas;Hasta 51;Multinacional;1;HRBP;Tercerizado / Outsourced;Al ser HRBP un poco de todo payroll, capacitacion, comunicacion interna,;0;1;5;60565;Frutas y snacks, Me ofrecieron medicina prepaga pero me quede en mi obra social, con lo cual bo obtuve el beneficio. Hoy por la pandemia estamos de Home office y nos pagan una parte de internet (es por la cuarentena);No recibo bono;1 solo;17;Abril;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;Si;100%;;3;No,  pero escucho ofertas;Home offices, bono por desempeño, medicina prepaga, 1 semana mas de vacaciones ;Empatia;N/A;Si;Computadora / Laptop, Abono de internet pero no el 100%;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Tucumán;Relación de Dependencia;Comercio;Hasta 51;Nacional;1;Responsable;Full time;Generalista;0;3;8;50000;No tengo beneficios adicionales;No recibo bono;1 solo;10;Marzo;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;2823;3;No,  pero escucho ofertas;Prepaga ;servicio;Sobre mi religión;No;No estoy trabajando en home office;3;;;;;;;;;;;;;;;
Masculino;Si;Entre 36 y 40;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Relación de Dependencia;Petróleo y producción de gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Transporte (incluyendo aviación civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Tucumán;Relación de Dependencia;Servicios de consultoría;Entre 2.501 y 5.000;Nacional;3;Responsable;Full time;Generalista;50;5;8;45000;Medicina prepaga / Plan de salud, Horarios flexibles, Combustible, Home office;No recibo bono;1 solo;20;Mayo;No;No tenemos sistema de gestión;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;No estudié en la Universidad;Argentina;Santa Fe;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Contractor;1;Casa;No;Transferencia a tu cuenta;Si, frecuentemente;No;Si;Si;No;35000;Remuneración mensual del ingresante;No ofrezco garantía;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 501 y 1.000;Nacional;3;Jefe;Full time;Generalista;2;9;9;106024;Medicina prepaga / Plan de salud;No recibo bono;No tuve ajustes;117;Mayo;No;Isis Payroll;Recursos Humanos;Si, está permitido;No;0%;125;4;No,  pero escucho ofertas;Día flex;Escucha;;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Maestría en curso;Psicología;Universidad Privada;Argentina;San Juan;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;10;Alquilo oficina (no cowork);No;Transferencia a tu cuenta;Si, eventualmente;Si;No;;;;;;Capacitación;1800
Femenino;No;Entre 46 y 50;No tengo ninguna discapacidad;Maestría abandonada;Psicología;Universidad Privada;Argentina;San Juan;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;7;Propietaria de estudio;No;Transferencia a tu cuenta;No;Si;No;;;;;;EVALUACION DE PERSONAL;1500
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;Entre 51 y 100;Nacional;2;Analista;Full time;Administración de personal;3;5;10;71500;Medicina prepaga / Plan de salud, Comedor / Almuerzos, Bono Anual dependiendo de los resultados del año ;Menos de un sueldo;1 solo;14;Julio;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;30%;3052;3;No,  pero escucho ofertas;Capacitación en Idiomas, tarjeta de  Descuentos, Gimnasio ;Servicio ;No me acuerdo, pero si me trataron de levantar en una entrevista y yo era la entrevistadora ;Si;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Buenos Aires;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;5;Casa;No;Transferencia a tu cuenta;No;Si;Si;Si;Si;30;Remuneración mensual del ingresante;1 mes;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Terciario en curso;RRHH / RRLL / RRTT;No estudié en la Universidad;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;Entre 101 y 250;Nacional;2;Analista;Full time;Administración de personal;0;1.5;2;48200;Medicina prepaga / Plan de salud;No recibo bono;1 solo;5;;No;Tango;Oficina de Personal;Si, está permitido;No;0%;1872;3;Sí, activamente;Idiomas, descuentos para algunas actividades, almuerzo pago, si estuviera lejos transporte, ajustes por inflación/ bonos, capacitaciones ;Estrategia;No recuerdo;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Servicios de salud;Entre 251 y 500;Nacional;4;Responsable;Full time;Compensaciones y beneficios;2;2;2;62.000;Medicina prepaga / Plan de salud, Préstamos, Reintegros en capacitación, Home office;No recibo bono;1 solo;15;Septiembre;No;Tango;Desarrollo Humano;Si, está permitido;No;0%;381;5;No estoy buscando cambiar;;Acción;;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;4;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;Administración y sistemas;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Producción de metales básicos;Entre 5.001 y 10.000;Multinacional;160;Analista;Full time;People Analytics;0;3;3;218000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Frutas y snacks, Préstamos, Posgrados, Home office, Comedor / Almuerzos, Charter / Servicio de transporte;Un sueldo;1 solo;10;Agosto;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;Si;10%;200;4;No estoy buscando cambiar;Más descuentos en negocios locales. Vivo en el interior de bsas y la mayoría de los descuentos estan en capital.;;Donde te ves en 5 años? Estas preguntas son ridiculas y mas en el contexto actual del pais. Uno se ve obligado a mentir para que lo contraten.;Si;No me enviaron ni reintegraron nada;2;;;;;;;;;;;;;;;
Masculino;No;Entre 31 y 35;No tengo ninguna discapacidad;Terciario completo;RRHH / RRLL / RRTT;No estudié en la Universidad;Argentina;San Juan;Relación de Dependencia;Construcción;Entre 251 y 500;Nacional;4;Responsable;Full time;Payroll / Liquidación de sueldos;0;12;12;73000;Medicina prepaga / Plan de salud;Un sueldo;1 solo;10;Febrero;Si, en emprendimiento relacionado con RRHH;CERES;Recursos Humanos;Si, está permitido;No;;300;3;No estoy buscando cambiar;Movilidad ;Utilidad;Ninguna ;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;2;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;Entre 51 y 100;Nacional;2;Responsable;Full time;Generalista;1;1;10;75000;No tengo beneficios adicionales, Horarios flexibles, Home office;No recibo bono;No tuve ajustes;10;Agosto;Si, en emprendimiento relacionado con RRHH;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;13500;3;Sí, activamente;Alguno!;NEXO ;Nc;Voy rotando entre la oficina y el trabajo;No me enviaron ni reintegraron nada;3;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Servicios de salud;Entre 501 y 1.000;Nacional;3;Gerente;Full time;Diseño organizacional;2;3;4;80000;Tarjeta de descuento, Licencias extendidas, Frutas y snacks, Préstamos, Posgrados, Reintegros en capacitación, Home office, Comedor / Almuerzos;No recibo bono;1 solo;10;Septiembre;Si, en emprendimiento no relacionado con RRHH;Tango;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Corrientes;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Adhonores;1;Casa;No;Adhonore;Si, eventualmente;Si;Si;No;No;1;Remuneración anual del ingresante;No ofrezco garantía;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Educación;Entre 501 y 1.000;Nacional;7;HRBP;Full time;Generalista;0;1;4;56600;Vacaciones extendidas, Licencias extendidas, Abono de internet, Reintegros en capacitación;No recibo bono;1 solo;20;Marzo;No;SAP / SuccessFactors;Desarrollo Humano;Si, está permitido;No;0%;400;4;No estoy buscando cambiar;;;;Si;Computadora / Laptop, Silla ergonómica, Abono de internet;5;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 51 y 100;Multinacional;5;Reclutadora;Full time;Reclutamiento y selección;0;0;3;56000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Frutas y snacks, Idiomas, Home office;No recibo bono;1 solo;9.5;Julio;No;Enlatado propio;Talento Humano;Si, está permitido;Si;20%;5200;2;No,  pero escucho ofertas;Mayor flexibilidad, día libre de cumpleaños, libres las fiestas (navidad y año nuevo), home office 100% a elección, gimnasio, almuerzo pago, transporte en caso de ir a la oficina, capacitaciones y certificaciones, asistencia a congresos;Talento;Qué animal, planta u objeto serías y porque, y cuáles no.;Si;Computadora / Laptop;1;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;San Juan;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;3;Casa;No;No;No;Si;No;;;;;;Payroll / Liquidación de sueldos;500
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Terminales automotrices, fábricas autopartistas, y afines;Hasta 51;Nacional;1;Responsable;Full time;Administración de personal;1;5;5;69500;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;12.69;Septiembre;No;Tango;Recursos Humanos;Si, está permitido;No;0%;421;2;Sí, activamente;;;;No;No estoy trabajando en home office;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Otros;Entre 2.501 y 5.000;Nacional;20;Analista;Plazo Fijo;Administración de personal;0;4;5;60000;Horarios flexibles;No recibo bono;1 solo;10;Marzo;No;SAP / SuccessFactors;Recursos Humanos;Si, está permitido;No;0%;10;4;No,  pero escucho ofertas;Comedor y vacaciones extendidas;Necesario;No recuerdo.;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 41 y 45;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;Psicología;Universidad Pública;Argentina;Tucumán;Freelance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monotributista;13;Tengo oficina;No;Payoneer;Si, frecuentemente;Si;Si;Si;No;1.0;Remuneración mensual del ingresante;3 meses;;
Masculino;No;Entre 46 y 50;No tengo ninguna discapacidad;Universitario abandonado;Abogacía;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Transporte (incluyendo aviación civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 101 y 250;Nacional;5;Analista;Full time;Reclutamiento y selección;0;1;5;29000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Frutas y snacks;No recibo bono;1 solo;14;Junio;No;SUGAR CRM;Capital Humano;Si, está permitido;No;40%;1500;4;No,  pero escucho ofertas;Home Office;CORAZON de la empresa;;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Masculino;No;Entre 36 y 40;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Comercio;Entre 51 y 100;Nacional;1;Responsable;Full time;Generalista;80;5;12;38500;Horarios flexibles, Vacaciones extendidas, Abono de celular, Préstamos, Combustible, Reintegros en capacitación;Menos de un sueldo;No tuve ajustes;0;Enero;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;0%;30;3;Sí, activamente;Estabilidad ;Pasión ;Te gustan los gatos? ;No;Computadora / Laptop;4;;;;;;;;;;;;;;;
Masculino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Función pública;Más de 10.000;Nacional;50;Jefe;Full time;People Analytics;2;5;6;92000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Reintegros en capacitación, Home office;No recibo bono;1 solo;7;Octubre;No;Enlatado propio;Recursos Humanos;Si, está permitido;No;10%;370;4;No,  pero escucho ofertas;Mas capacitación;Empatía;Religión;Si;Computadora / Laptop;3;;;;;;;;;;;;;;;
Masculino;No;Hasta 25;No tengo ninguna discapacidad;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;San Juan;Relación de Dependencia;Minería (carbón, otra minería);Entre 101 y 250;Nacional;2;Administrativo;Full time;Administración de personal;0;0;2;43954.43;No tengo beneficios adicionales;No recibo bono;No tuve ajustes;0;;No;Tango;Recursos Humanos;No, está prohibido;No;0%;279;3;No,  pero escucho ofertas;Capacitaciones, Flexibilidad horaria, Bonos;Estratégico;;No;No estoy trabajando en home office, No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
Femenino;No;Entre 31 y 35;No tengo ninguna discapacidad;Maestría completa;Psicología;Universidad Pública;Argentina;Tucumán;Relación de Dependencia;Agricultura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femenino;No;Entre 26 y 30;No tengo ninguna discapacidad;Maestría en curso;Psicología;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de Información, Sistemas, y afines;Entre 251 y 500;Nacional;6;Analista;Full time;Capacitación y desarrollo;0;0;10;29400;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Frutas y snacks, Idiomas, Comedor / Almuerzos;Menos de un sueldo;1 solo;46;Agosto;Si, en emprendimiento relacionado con RRHH;Tango;Recursos Humanos;Si, está permitido;No;10%;6100;3;Sí, activamente;servicios de streaming, formaciones, planes de salud completo, posibilidad de gestión para clientes del exterior;Empatía;No recuerdo;Voy rotando entre la oficina y el trabajo;Computadora / Laptop;3;;;;;;;;;;;;;;;
Femenino;No;Hasta 25;No tengo ninguna discapacidad;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Comercio;Entre 51 y 100;Nacional;2;Administrativo;Part time;Administración de personal;0;0;1;30000;Medicina prepaga / Plan de salud, Comedor / Almuerzos;No recibo bono;1 solo;5;Marzo;No;No tenemos sistema de gestión;Recursos Humanos;Si, está permitido;No;40%;205;4;No,  pero escucho ofertas;Home office ;Atención ;Mi signo ;Si;No me enviaron ni reintegraron nada;4;;;;;;;;;;;;;;;
